species_code,recording_id,safe_id,onset,offset,freq_min,freq_max,power,cluster_id,method
azwmag2,xc:1058393,xc_1058393,6.688,7.2533,1968.8,10593.8,55.45207214355469,0,bambird
azwmag2,xc:1058393,xc_1058393,6.3893,6.8053,2250.0,10640.6,46.64699935913086,0,bambird
azwmag2,xc:1058393,xc_1058393,1.8027,1.888,10500.0,11203.1,35.916378021240234,0,bambird
azwmag2,xc:1058393,xc_1058393,4.9813,5.6853,1781.2,10687.5,35.74345779418945,0,bambird
azwmag2,xc:906845,xc_906845,0.0107,2.272,46.9,22218.8,32.12119674682617,0,bambird
azwmag2,xc:1058393,xc_1058393,10.1867,10.9653,8343.8,16640.6,30.64830780029297,0,bambird
azwmag2,xc:766304,xc_766304,8.9387,9.2053,17203.1,20859.4,24.749099731445312,0,bambird
azwmag2,xc:766304,xc_766304,9.0667,9.4827,14812.5,16031.2,23.22425079345703,0,bambird
azwmag2,xc:766304,xc_766304,32.8747,33.4507,20906.2,23953.1,23.06539535522461,0,bambird
azwmag2,xc:766304,xc_766304,9.0667,9.312,11953.1,14296.9,22.143882751464844,0,bambird
azwmag2,xc:906845,xc_906845,7.8613,8.288,46.9,8062.5,22.031620025634766,0,bambird
azwmag2,xc:766304,xc_766304,33.2373,33.4507,20343.8,22171.9,21.817150115966797,0,bambird
azwmag2,xc:906845,xc_906845,2.784,4.9067,19171.9,23953.1,19.906641006469727,0,bambird
azwmag2,xc:906845,xc_906845,13.952,15.0827,46.9,21984.4,11.73768424987793,0,bambird
azwmag2,xc:906845,xc_906845,8.8107,9.0667,22171.9,22875.0,11.418279647827148,0,bambird
azwmag2,xc:729860,xc_729860,6.848,8.2667,46.9,3843.8,9.53335952758789,0,bambird
barswa,xc:578054,xc_578054,10.688,15.712,46.9,8625.0,967.379150390625,0,bambird
barswa,xc:677842,xc_677842,15.36,15.836,20198.1,22006.9,707.2059326171875,0,bambird
barswa,xc:123035,xc_123035,168.0544,170.4112,43.1,8828.6,496.179931640625,0,bambird
barswa,xc:669362,xc_669362,5.376,6.944,46.9,6000.0,432.427978515625,0,bambird
barswa,xc:669362,xc_669362,7.2,8.2133,46.9,4687.5,365.01922607421875,0,bambird
barswa,xc:677842,xc_677842,5.2477,5.8863,7321.3,22006.9,354.12060546875,0,bambird
barswa,xc:578054,xc_578054,12.2773,16.6187,4875.0,23953.1,317.83087158203125,0,bambird
barswa,xc:142731,xc_142731,25.8206,26.2153,2196.4,4005.2,310.6251525878906,0,bambird
barswa,xc:142731,xc_142731,1.2655,1.6602,2196.4,4048.2,301.22186279296875,0,bambird
barswa,xc:669362,xc_669362,9.504,11.4773,46.9,23953.1,267.59149169921875,0,bambird
barswa,xc:578054,xc_578054,10.0693,10.7413,5625.0,8953.1,266.98681640625,0,bambird
barswa,xc:669362,xc_669362,8.256,9.4613,3984.4,23953.1,260.45098876953125,0,bambird
barswa,xc:677842,xc_677842,15.9985,16.2888,215.3,1550.4,253.71238708496094,0,bambird
barswa,xc:142731,xc_142731,26.819,27.1557,1938.0,3962.1,241.18280029296875,0,bambird
barswa,xc:123035,xc_123035,12.0512,13.6301,7708.9,18260.2,227.2218017578125,0,bambird
barswa,xc:669362,xc_669362,4.192,5.3547,3890.6,23953.1,226.284912109375,0,bambird
barswa,xc:123035,xc_123035,8.4637,8.8468,16106.8,18906.2,223.74432373046875,0,bambird
barswa,xc:578054,xc_578054,10.4,11.0827,9046.9,23953.1,211.77972412109375,0,bambird
barswa,xc:123035,xc_123035,146.6921,149.9312,10766.6,19035.4,210.45289611816406,0,bambird
barswa,xc:677842,xc_677842,14.8492,15.302,14211.9,22006.9,204.53396606445312,0,bambird
barswa,xc:123035,xc_123035,23.3593,23.6844,16063.8,18863.1,197.43405151367188,0,bambird
barswa,xc:677842,xc_677842,15.4413,15.6967,9689.9,20025.9,187.5047149658203,0,bambird
barswa,xc:142731,xc_142731,14.9885,15.627,1765.7,4263.6,187.37893676757812,0,bambird
barswa,xc:206071,xc_206071,6.8267,8.672,21515.6,23296.9,181.87794494628906,0,bambird
barswa,xc:578054,xc_578054,11.232,11.488,9187.5,9750.0,174.16265869140625,0,bambird
barswa,xc:142731,xc_142731,2.322,2.589,2325.6,4091.3,155.3262939453125,0,bambird
bkfbun2,ml:643676710,ml_643676710,27.104,31.3067,46.9,1734.4,941.5822143554688,0,bambird
bkfbun2,ml:643676710,ml_643676710,24.416,27.0613,46.9,3375.0,866.903564453125,0,bambird
bkfbun2,ml:618704340,ml_618704340,4.7485,5.2825,3230.0,6460.0,538.9268798828125,0,bambird
bkfbun2,ml:643676710,ml_643676710,115.8187,121.44,46.9,23953.1,347.6678161621094,0,bambird
bkfbun2,ml:643676710,ml_643676710,25.9947,27.2213,1781.2,7453.1,326.3734130859375,0,bambird
bkfbun2,ml:618704340,ml_618704340,4.1912,4.5627,3703.7,4823.4,311.01690673828125,0,bambird
bkfbun2,ml:643676710,ml_643676710,24.832,25.2267,8718.8,12000.0,299.3988037109375,0,bambird
bkfbun2,ml:618704340,ml_618704340,4.2725,4.5627,5641.7,6847.6,263.06146240234375,0,bambird
bkfbun2,ml:618704340,ml_618704340,3.6107,4.0751,4909.6,6976.8,255.23297119140625,0,bambird
bkfbun2,ml:618704340,ml_618704340,5.1897,5.3754,5857.0,6201.6,173.10662841796875,0,bambird
bkfbun2,ml:644010084,ml_644010084,0.0107,8.384,46.9,23953.1,146.56179809570312,0,bambird
bkfbun2,ml:640988362,ml_640988362,0.0107,0.9173,11250.0,23953.1,100.53573608398438,0,bambird
bkfbun2,ml:634320120,ml_634320120,26.4,27.5413,7921.9,23953.1,98.71641540527344,0,bambird
bkhgul,xc:984595,xc_984595,0.0116,9.1487,43.1,22006.9,4685.7353515625,0,bambird
bkhgul,xc:854813,xc_854813,5.6853,9.8773,46.9,23953.1,4275.25244140625,0,bambird
bkhgul,xc:441030,xc_441030,678.1156,682.2951,14685.6,16968.2,4172.2548828125,0,bambird
bkhgul,xc:655838,xc_655838,23.3709,29.3268,43.1,22006.9,4080.096435546875,0,bambird
bkhgul,xc:854813,xc_854813,9.4187,13.7173,46.9,23953.1,3923.947265625,0,bambird
bkhgul,xc:854813,xc_854813,17.0133,21.088,1359.4,23953.1,3847.878173828125,0,bambird
bkhgul,xc:735929,xc_735929,10.1867,10.9867,16078.1,23953.1,3525.99462890625,0,bambird
bkhgul,xc:854813,xc_854813,2.5067,5.888,46.9,23953.1,3195.09326171875,0,bambird
bkhgul,xc:735929,xc_735929,9.568,10.3467,15984.4,19078.1,2871.251708984375,0,bambird
bkhgul,xc:735929,xc_735929,9.5787,10.3467,19218.8,23437.5,2868.01171875,0,bambird
bkhgul,xc:441030,xc_441030,580.4873,582.5654,15719.2,18561.6,2626.826904296875,0,bambird
bkhgul,xc:735929,xc_735929,15.8827,16.32,17859.4,18234.4,2604.857421875,0,bambird
bkhgul,xc:441030,xc_441030,655.7083,665.4955,43.1,17140.4,2589.83935546875,0,bambird
bkhgul,xc:94182,xc_94182,0.0213,9.3227,46.9,23953.1,2530.50439453125,0,bambird
bkhgul,xc:854813,xc_854813,14.4107,17.184,46.9,5671.9,2462.900390625,0,bambird
bkhgul,xc:441030,xc_441030,580.7427,582.043,14901.0,15547.0,2370.27734375,0,bambird
